,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
957,1,60,2,1,0,3,acept,not furnished,487,"1,850",0,24,"2,361"
958,0,60,2,1,1,16,not acept,not furnished,300,"1,400",60,18,"1,778"
959,1,190,3,4,3,14,acept,furnished,"1,700","2,740",900,35,"5,375"
960,1,95,3,2,2,16,not acept,not furnished,900,"3,150",121,40,"4,211"
961,1,125,2,1,1,-,acept,not furnished,0,"1,490",74,23,"1,587"
962,1,250,3,4,4,-,acept,furnished,0,"4,200",0,64,"4,264"
963,1,230,3,4,2,12,acept,furnished,"2,662","5,900",680,75,"9,317"
964,1,168,3,3,3,3,acept,not furnished,"1,605","2,700",322,35,"4,662"
965,1,132,3,1,2,7,not acept,furnished,920,"8,000",400,102,"9,422"
966,1,294,4,6,8,-,acept,furnished,0,"3,000",600,46,"3,646"
967,1,25,1,1,0,12,acept,not furnished,318,"2,100",41,27,"2,486"
968,1,48,1,1,1,6,acept,not furnished,500,"2,200",35,28,"2,763"
969,1,98,2,2,1,13,acept,not furnished,"1,055","2,166",384,28,"3,633"
970,0,226,4,2,2,10,acept,not furnished,"1,850","2,780",403,36,"5,069"
971,1,60,2,1,1,2,acept,not furnished,Incluso,"2,700",0,35,"2,735"
972,1,55,1,1,1,7,acept,not furnished,594,"2,050",50,26,"2,720"
973,1,31,1,1,0,6,acept,not furnished,200,"2,614",84,34,"2,932"
974,1,150,2,3,1,-,acept,not furnished,0,"1,650",0,25,"1,675"
975,1,70,2,1,0,-,acept,not furnished,0,"1,350",0,21,"1,371"
976,1,234,3,4,3,13,acept,not furnished,"2,400","7,000",84,89,"9,573"
977,1,188,1,3,2,10,not acept,not furnished,"1,180","8,000",550,102,"9,832"
978,1,198,4,5,4,17,acept,not furnished,"1,493","4,000",926,51,"6,470"
979,0,57,1,1,1,2,acept,not furnished,690,"2,600",131,33,"3,454"
980,1,550,3,2,4,-,not acept,not furnished,0,"3,805",449,58,"4,312"
981,1,700,5,7,5,-,acept,not furnished,0,"15,000","2,240",226,"17,470"
982,1,240,4,2,4,-,acept,not furnished,0,"8,000",0,121,"8,121"
983,1,100,3,3,2,2,not acept,furnished,"1,500","1,490",105,19,"3,114"
984,1,167,3,3,2,7,acept,not furnished,"1,315","5,500",292,70,"7,177"
985,0,85,2,1,0,-,acept,not furnished,590,800,0,11,"1,401"
986,1,55,1,2,1,18,acept,furnished,"2,270","5,500",18,70,"7,858"
987,1,56,2,1,1,6,acept,furnished,479,"3,190",144,41,"3,854"
988,1,72,2,1,1,2,not acept,furnished,325,"1,650",60,21,"2,056"
989,1,350,4,3,3,1,not acept,furnished,"4,459","15,000",0,191,"19,650"
990,1,190,3,3,3,6,acept,furnished,"2,800","4,500",834,58,"8,192"
991,1,65,2,1,1,4,acept,not furnished,800,"1,750",Incluso,7,"2,557"
992,1,290,3,3,3,-,acept,not furnished,0,"8,000",542,121,"8,663"
993,0,45,1,1,0,3,acept,not furnished,412,900,66,12,"1,390"
994,1,185,3,2,2,11,acept,not furnished,"2,000","11,500",417,146,"14,060"
995,0,54,1,1,1,6,not acept,not furnished,0,"1,370",31,18,"1,419"
996,1,240,4,3,3,6,acept,not furnished,"2,850","12,000",700,153,"15,700"
997,1,90,3,3,2,-,acept,not furnished,0,"2,000",50,31,"2,081"
998,0,348,3,3,3,-,acept,not furnished,0,"4,850",400,73,"5,323"
999,1,251,3,2,2,-,acept,not furnished,0,"3,400",336,52,"3,788"
1000,1,140,3,1,2,-,not acept,not furnished,140,"6,000",273,91,"6,504"
1001,1,220,3,4,8,-,not acept,not furnished,0,"3,493",492,53,"4,038"
1002,1,42,1,1,1,14,not acept,not furnished,0,"5,000",0,64,"5,064"
1003,0,100,3,2,0,2,not acept,not furnished,815,808,81,11,"1,715"
1004,0,65,2,1,1,1,not acept,not furnished,267,"1,000",34,13,"1,314"
1005,1,70,3,2,1,3,acept,not furnished,758,"2,000",109,26,"2,893"
1006,1,80,2,2,0,-,acept,not furnished,0,"2,000",134,31,"2,165"
1007,1,292,4,3,3,8,acept,furnished,"2,700","11,480",709,146,"15,030"
1008,1,28,1,1,0,1,acept,not furnished,0,"1,329",15,17,"1,361"
1009,1,130,3,2,1,7,not acept,not furnished,"1,900","6,900",260,88,"9,148"
1010,1,145,3,2,1,4,acept,not furnished,"1,600","3,445",0,13,"5,058"
1011,1,58,1,1,0,2,not acept,not furnished,330,"1,398",0,8,"1,736"
1012,1,380,3,5,1,10,not acept,not furnished,"3,000","15,000",267,191,"18,460"
1013,1,100,2,2,2,10,acept,not furnished,930,"2,600",21,33,"3,584"
1014,0,62,1,1,1,1,not acept,not furnished,650,755,0,3,"1,408"
1015,0,55,2,1,1,-,acept,not furnished,480,750,66,10,"1,306"
1016,1,98,2,2,1,-,not acept,not furnished,"1,300","2,990",250,38,"4,578"
1017,1,159,3,3,1,6,acept,not furnished,"1,800","3,000",292,39,"5,131"
1018,1,210,3,5,4,6,acept,furnished,"3,301","11,900",960,151,"16,310"
1019,0,60,2,1,1,3,acept,not furnished,345,880,16,12,"1,253"
1020,1,472,3,2,4,-,acept,not furnished,0,"6,500",650,98,"7,248"
1021,1,128,3,2,2,1,acept,not furnished,"1,630","3,000",597,39,"5,266"
1022,1,83,2,1,1,1,acept,not furnished,620,"1,147",238,15,"2,020"
1023,1,50,1,1,1,6,not acept,furnished,"1,450","2,500",342,32,"4,324"
1024,1,112,3,2,3,-,acept,not furnished,0,"3,300",32,50,"3,382"
1025,0,52,3,1,1,1,acept,furnished,288,"1,200",63,16,"1,567"
1026,1,40,1,1,1,9,acept,furnished,"1,800","4,800",350,61,"7,011"
1027,1,500,4,6,3,-,acept,not furnished,0,"15,000",845,226,"16,070"
1028,1,55,2,1,1,13,acept,not furnished,505,"1,800",0,23,"2,328"
1029,1,365,3,5,2,5,acept,furnished,"1,950","8,500",899,108,"11,460"
1030,1,40,1,2,1,28,not acept,furnished,"1,935","4,200",318,54,"6,507"
1031,1,25,1,1,1,25,acept,not furnished,331,"2,100",64,27,"2,522"
1032,0,85,3,2,2,9,acept,furnished,510,"3,000",165,39,"3,714"
1033,0,170,4,3,1,10,not acept,not furnished,"1,470","3,700",0,47,"5,217"
1034,1,300,3,5,4,12,not acept,not furnished,"6,593","6,000","1,974",77,"14,640"
1035,1,53,2,1,1,7,not acept,not furnished,600,"1,200",60,16,"1,876"
1036,1,387,4,5,6,-,acept,not furnished,Incluso,"13,000",834,196,"14,030"
1037,1,85,3,2,1,4,acept,not furnished,"1,300","3,100",125,40,"4,565"
1038,0,45,2,1,1,3,acept,not furnished,312,850,25,11,"1,198"
1039,1,44,1,1,0,1,not acept,not furnished,0,"1,200",30,16,"1,246"
1040,1,92,2,2,1,6,not acept,not furnished,"1,590","2,490",158,32,"4,270"
1041,1,45,1,1,1,-,acept,not furnished,Sem info,"1,300",59,20,"1,379"
1042,1,60,2,1,0,10,acept,not furnished,453,"1,654",0,19,"2,126"
1043,1,150,3,5,2,14,acept,not furnished,"1,423","3,102",452,40,"5,017"
1044,1,35,1,1,0,1,not acept,not furnished,250,"1,305",0,17,"1,572"
1045,1,70,2,2,1,6,acept,not furnished,450,"3,500",150,45,"4,145"
1046,1,350,3,5,4,13,acept,not furnished,"4,000","3,760","1,750",48,"9,558"
1047,1,20,1,1,0,5,acept,furnished,602,"1,800",130,23,"2,555"
1048,1,316,4,6,4,18,acept,furnished,"4,767","8,000","1,963",102,"14,830"
1049,1,38,1,1,0,16,not acept,not furnished,188,"2,001",0,26,"2,215"
1050,1,62,3,2,1,5,acept,not furnished,455,"1,583",33,6,"2,077"
1051,0,258,2,2,1,-,acept,not furnished,0,"1,400",67,22,"1,489"
1052,0,402,4,5,2,-,not acept,not furnished,730,"4,800",459,73,"6,062"
1053,1,200,3,1,2,-,acept,not furnished,0,"3,000",0,46,"3,046"
1054,1,60,1,1,1,6,acept,not furnished,683,"2,240",0,29,"2,952"
1055,0,54,2,1,1,10,acept,not furnished,320,"1,500",23,20,"1,863"
1056,1,53,2,1,1,8,acept,furnished,950,"1,200",0,16,"2,166"
1057,1,50,1,1,0,1,acept,not furnished,0,950,0,15,965
1058,0,65,2,1,1,3,acept,not furnished,420,"1,250",53,16,"1,739"
1059,0,81,3,2,2,3,acept,not furnished,780,"2,230",128,29,"3,167"
1060,1,68,2,2,1,18,acept,not furnished,640,"3,400",95,44,"4,179"
1061,1,158,3,3,2,10,not acept,not furnished,"1,995","5,500",529,70,"8,094"
1062,1,114,2,2,1,4,acept,not furnished,"1,405","2,000",0,26,"3,431"
1063,1,80,3,2,2,5,acept,not furnished,"1,045","2,400",227,31,"3,703"
1064,0,111,3,3,3,6,not acept,furnished,"1,000","5,000",283,64,"6,347"
1065,1,160,3,4,2,3,acept,not furnished,"2,462","8,500",60,108,"11,130"
1066,1,630,4,6,4,-,not acept,not furnished,0,"12,300","2,667",185,"15,150"
1067,1,68,1,1,0,-,not acept,not furnished,0,"1,140",0,18,"1,158"
1068,0,60,2,1,1,1,acept,not furnished,314,"1,000",0,13,"1,327"
1069,1,110,3,2,1,10,acept,not furnished,"1,421","2,800",104,36,"4,361"
1070,1,255,4,4,3,2,acept,not furnished,"5,000","6,600","1,678",84,"13,360"
1071,1,252,4,6,3,19,acept,not furnished,"1,700","12,000",650,153,"14,500"
1072,1,86,2,1,1,12,acept,not furnished,"1,000","3,007",84,39,"4,130"
1073,1,48,2,1,0,2,acept,not furnished,90,"1,191",90,16,"1,387"
1074,0,300,4,5,3,9,acept,not furnished,"1,650","9,500",459,121,"11,730"
1075,1,130,3,2,1,13,acept,not furnished,"1,600","2,900",200,37,"4,737"
1076,1,36,1,1,0,1,acept,not furnished,355,"1,800",0,23,"2,178"
1077,0,220,3,1,4,-,not acept,not furnished,0,"2,800",334,43,"3,177"
1078,1,96,2,2,2,5,acept,not furnished,"1,200","1,600",400,21,"3,221"
1079,1,280,3,3,5,-,acept,not furnished,0,"3,500",2,53,"3,555"
1080,1,70,1,1,1,-,acept,not furnished,0,"1,170",44,18,"1,232"
1081,1,102,2,2,1,1,acept,not furnished,430,"1,700",126,22,"2,278"
1082,1,70,2,1,0,6,acept,not furnished,480,"1,800",0,23,"2,303"
1083,1,35,1,1,0,18,acept,not furnished,250,"1,850",0,24,"2,124"
1084,1,60,2,2,1,5,acept,not furnished,700,"1,465",100,19,"2,284"
1085,1,500,2,2,1,-,acept,not furnished,129,"2,260",0,34,"2,423"
1086,1,238,4,5,3,1,not acept,not furnished,"2,500","15,000",375,58,"17,930"
1087,1,127,3,2,2,1,acept,not furnished,Sem info,"5,000",250,76,"5,326"
1088,1,298,4,4,3,6,acept,not furnished,"3,356","9,000","1,190",115,"13,660"
1089,1,75,3,1,1,9,acept,not furnished,950,"2,951",233,12,"4,146"
1090,0,105,2,2,2,11,acept,not furnished,"1,175","3,800",258,49,"5,282"
1091,1,279,5,5,6,3,acept,furnished,900,"4,740",834,61,"6,535"
1092,1,100,1,2,1,13,not acept,not furnished,"1,520","6,000",348,77,"7,945"
1093,1,100,3,2,1,12,acept,not furnished,700,"1,946",0,7,"2,653"
1094,1,120,4,2,2,-,not acept,not furnished,0,"4,500",89,68,"4,657"
1095,1,98,3,2,1,7,acept,furnished,850,"3,318",0,27,"4,195"
1096,0,550,5,6,8,-,acept,not furnished,Sem info,"10,600",578,160,"11,340"
1097,1,100,3,2,6,-,acept,not furnished,0,"7,500","1,000",113,"8,613"
1098,0,55,1,1,0,5,not acept,not furnished,630,950,80,13,"1,673"
1099,1,58,2,2,1,1,acept,not furnished,934,"2,588",76,10,"3,608"
1100,1,180,3,3,1,6,not acept,not furnished,"1,650","7,500",850,96,"10,100"
1101,1,22,1,1,0,25,acept,not furnished,385,"2,100",40,27,"2,552"
1102,0,82,3,2,1,1,acept,not furnished,650,"1,200",100,16,"1,966"
1103,0,194,3,2,3,-,acept,not furnished,0,"3,500",75,53,"3,628"
1104,1,70,3,2,1,1,acept,not furnished,840,"2,300",30,30,"3,200"
1105,1,67,2,2,2,4,acept,furnished,883,"4,675",256,60,"5,874"
1106,1,100,3,2,2,6,not acept,not furnished,"1,200","2,000",0,26,"3,226"
1107,1,60,2,2,1,8,acept,not furnished,640,"1,650",0,21,"2,311"
1108,1,62,2,2,1,5,acept,not furnished,510,"2,500",158,32,"3,200"
1109,1,44,1,1,0,4,acept,furnished,450,"2,500",30,32,"3,012"
1110,1,66,2,2,1,15,not acept,not furnished,862,"2,748",31,35,"3,676"
1111,1,86,2,1,1,1,acept,not furnished,960,"2,372",0,10,"3,342"
1112,1,300,3,4,0,-,acept,furnished,0,"10,000","2,000",151,"12,150"
1113,0,60,2,1,1,7,acept,not furnished,486,900,74,12,"1,472"
1114,0,65,2,1,1,7,acept,not furnished,550,"1,100",100,14,"1,764"
1115,1,46,1,1,1,5,acept,furnished,770,"1,600",4,21,"2,395"
1116,1,70,2,2,1,13,acept,not furnished,849,"4,400",150,56,"5,455"
1117,1,110,2,2,0,13,acept,not furnished,664,"2,690",0,35,"3,389"
1118,1,20,1,1,0,3,not acept,furnished,300,600,40,8,948
1119,1,200,3,3,3,3,acept,not furnished,"3,162","4,790",876,61,"8,889"
1120,1,150,3,3,2,10,acept,not furnished,"1,570","4,000",515,51,"6,136"
1121,1,120,3,1,0,-,acept,not furnished,0,"2,200",0,34,"2,234"
1122,1,176,3,4,3,20,not acept,not furnished,"2,004","9,500",584,121,"12,210"
1123,0,40,1,1,1,2,not acept,not furnished,"1,300","1,000",0,13,"2,313"
1124,1,350,3,6,4,28,acept,furnished,"2,100","12,000","1,417",153,"15,670"
1125,1,65,2,2,1,3,acept,not furnished,870,"1,613",0,6,"2,489"
1126,1,35,1,1,1,4,acept,furnished,510,"1,850",0,24,"2,384"
1127,0,88,1,1,2,-,acept,not furnished,678,"2,200",24,28,"2,930"
1128,1,106,2,2,2,1,not acept,furnished,"1,170","10,600",334,135,"12,240"
1129,1,220,4,4,1,19,acept,not furnished,"1,800","4,000",650,51,"6,501"
1130,1,40,1,1,0,2,acept,not furnished,250,"1,020",70,13,"1,353"
1131,0,70,3,1,1,1,acept,not furnished,600,"1,500",17,20,"2,137"
1132,1,227,4,4,3,7,not acept,furnished,"2,000","15,000",750,191,"17,940"
1133,1,208,3,3,2,2,acept,furnished,"2,354","7,000",552,89,"9,995"
1134,1,238,4,3,1,7,acept,not furnished,"2,515","5,000",575,64,"8,154"
1135,1,161,3,3,3,17,acept,not furnished,"2,700","10,000",667,127,"13,490"
1136,1,85,3,2,2,3,acept,not furnished,"1,050","2,350",217,30,"3,647"
1137,1,192,2,3,1,1,acept,furnished,"2,300","12,000",446,153,"14,900"
1138,0,71,2,1,1,3,acept,not furnished,670,"1,130",114,15,"1,929"
1139,1,55,1,1,0,13,acept,not furnished,400,"1,300",0,17,"1,717"
1140,0,219,4,5,2,4,acept,furnished,"1,954","3,800",472,49,"6,275"
1141,1,200,2,2,1,-,acept,not furnished,Sem info,"2,300",92,35,"2,427"
1142,1,50,1,1,0,-,not acept,not furnished,0,"1,266",57,4,"1,327"
1143,1,90,2,1,0,-,acept,not furnished,0,"2,800",170,43,"3,013"
1144,1,45,1,1,1,1,not acept,furnished,"3,000","5,520",0,70,"8,590"
1145,1,120,2,2,1,3,not acept,furnished,782,"3,300",0,42,"4,124"
1146,1,170,3,2,1,5,acept,not furnished,"2,215","4,500",293,58,"7,066"
1147,1,400,4,3,4,-,acept,not furnished,0,"3,760","2,084",57,"5,901"
1148,1,42,1,1,1,3,acept,not furnished,450,"2,700",52,35,"3,237"
1149,1,31,1,1,1,3,not acept,furnished,"2,000","1,990",125,26,"4,141"
1150,1,350,3,5,3,-,acept,not furnished,0,"4,500",17,68,"4,585"
1151,1,62,1,1,0,4,acept,furnished,670,"2,300",0,30,"3,000"
1152,1,83,2,3,2,8,acept,not furnished,"1,555","3,200",735,41,"5,531"
1153,1,35,1,1,0,1,not acept,not furnished,250,"1,305",0,17,"1,572"
1154,1,147,3,2,2,4,acept,not furnished,"1,313","3,600",414,46,"5,373"
1155,1,208,4,4,3,5,acept,not furnished,"3,600","12,000","1,084",153,"16,840"
1156,1,30,1,1,0,-,acept,not furnished,0,750,59,12,821
1157,1,97,2,2,2,3,acept,not furnished,"1,400","2,200",42,28,"3,670"
1158,1,30,1,1,0,-,not acept,not furnished,0,920,0,14,934
1159,1,104,3,2,2,8,acept,not furnished,"1,300","3,300",289,42,"4,931"
1160,1,230,4,3,3,-,acept,not furnished,"2,270","8,200","1,060",124,"11,650"
1161,1,20,1,1,0,4,not acept,furnished,150,"3,142",67,40,"3,399"
1162,1,298,4,4,1,-,acept,not furnished,0,"3,000",0,46,"3,046"
1163,1,127,2,1,2,-,acept,not furnished,0,"2,250",247,34,"2,531"
1164,0,60,3,2,1,3,acept,not furnished,452,800,50,11,"1,313"
1165,1,54,2,2,1,11,acept,not furnished,954,"2,800",190,36,"3,980"
1166,0,262,3,4,4,-,acept,not furnished,"1,953","9,500",745,143,"12,340"
1167,1,19,1,1,0,-,not acept,not furnished,0,"1,200",0,16,"1,216"
1168,1,55,2,1,1,1,acept,furnished,300,"2,200",84,28,"2,612"
1169,1,120,2,1,1,-,not acept,not furnished,0,"1,300",50,20,"1,370"
1170,1,88,3,4,2,5,acept,not furnished,486,"3,900",305,50,"4,741"
1171,1,136,3,2,2,9,not acept,not furnished,"1,650","6,818",332,87,"8,887"
1172,1,130,3,1,1,-,acept,not furnished,0,"2,000",0,31,"2,031"
1173,0,48,1,1,1,1,not acept,not furnished,450,550,42,7,"1,049"
1174,1,53,3,2,1,13,not acept,not furnished,420,"2,000",67,26,"2,513"
1175,1,320,4,5,5,-,acept,not furnished,0,"10,870","1,417",164,"12,450"
1176,0,52,1,1,1,8,not acept,furnished,"1,000","2,300",50,30,"3,380"
1177,1,20,1,1,0,-,acept,furnished,602,"1,800",130,23,"2,555"
1178,1,75,2,1,3,5,not acept,not furnished,700,"2,500",250,32,"3,482"
1179,1,90,3,1,0,-,not acept,not furnished,270,"2,200",225,34,"2,729"
1180,1,95,2,2,1,-,acept,not furnished,0,"2,400",180,37,"2,617"
1181,1,70,1,1,1,-,not acept,not furnished,Incluso,"1,100",0,17,"1,117"
1182,1,25,1,1,0,9,acept,furnished,160,"1,820",0,24,"2,004"
1183,1,230,3,4,2,3,acept,not furnished,"2,000","4,800",292,61,"7,153"
1184,1,89,3,2,2,15,not acept,not furnished,935,"5,418",0,20,"6,373"
1185,1,129,2,2,1,6,acept,furnished,"1,507","13,000",308,165,"14,980"
1186,1,42,1,1,1,-,acept,furnished,675,"3,600",82,46,"4,403"
1187,1,255,4,4,3,13,acept,furnished,Incluso,"11,900",0,151,"12,050"
1188,1,192,3,4,2,13,acept,not furnished,"1,600","8,500",0,108,"10,210"
1189,1,99,2,1,1,6,not acept,not furnished,"1,300","4,300",125,55,"5,780"
1190,1,50,2,1,1,1,acept,not furnished,400,"1,050",0,8,"1,458"
1191,0,48,1,2,0,2,acept,furnished,704,"1,234",46,16,"2,000"
1192,1,99,2,1,1,-,acept,not furnished,0,"3,650",230,55,"3,935"
1193,1,33,1,1,1,7,not acept,not furnished,560,"1,219",0,8,"1,787"
1194,1,93,3,2,2,25,not acept,furnished,650,"3,500",125,45,"4,320"
1195,1,49,1,1,1,10,acept,not furnished,480,"3,500",42,45,"4,067"
1196,1,50,1,1,0,9,not acept,furnished,850,"2,480",20,32,"3,382"
1197,1,100,3,3,1,-,acept,not furnished,0,"2,400",0,37,"2,437"
1198,1,110,2,1,1,10,not acept,not furnished,705,"1,800",0,23,"2,528"
1199,1,800,4,7,8,-,acept,not furnished,0,"12,000","1,667",181,"13,850"
1200,1,210,4,5,2,1,acept,furnished,"3,800","8,500",0,108,"12,410"
1201,1,80,3,1,0,-,not acept,not furnished,185,"2,100",0,27,"2,312"
1202,1,196,2,3,3,8,acept,not furnished,"3,210","5,500",73,70,"8,853"
1203,1,160,1,4,2,2,not acept,not furnished,"1,000","3,500",10,45,"4,555"
1204,1,250,5,3,6,-,acept,not furnished,0,"15,000","2,704",226,"17,930"
1205,1,160,4,4,3,2,acept,not furnished,"2,500","11,000",0,140,"13,640"
1206,1,189,4,3,2,5,not acept,furnished,"2,300","6,500",584,83,"9,467"
1207,1,93,2,1,1,11,acept,not furnished,760,"3,200",0,41,"4,001"
1208,1,500,4,6,6,-,acept,not furnished,0,"5,930","2,084",90,"8,104"
1209,0,57,2,1,1,3,not acept,not furnished,343,850,67,11,"1,271"
1210,0,76,3,1,1,8,not acept,not furnished,484,"1,100",63,14,"1,661"
1211,1,240,4,5,5,9,acept,furnished,"3,442","9,900","1,529",126,"15,000"
1212,1,240,3,4,3,1,acept,furnished,"5,100","11,000","1,834",140,"18,070"
1213,1,400,3,5,4,11,acept,not furnished,"3,800","3,800","1,250",49,"8,899"
1214,1,68,3,1,1,1,acept,not furnished,560,"1,460",115,19,"2,154"
1215,1,80,2,2,1,7,acept,not furnished,831,"3,800",9,49,"4,689"
1216,1,205,4,4,2,14,acept,not furnished,"3,050","10,800",517,137,"14,500"
1217,1,250,3,3,1,9,acept,not furnished,"2,000","6,500",292,83,"8,875"
1218,1,120,2,3,2,10,acept,furnished,"1,500","9,000",542,115,"11,160"
1219,1,68,2,1,1,9,acept,not furnished,0,"1,850",0,24,"1,874"
1220,1,65,2,1,1,3,acept,not furnished,315,"1,400",47,18,"1,780"
1221,1,720,4,5,5,17,acept,not furnished,"6,471","6,500","3,520",83,"16,570"
1222,1,40,1,1,0,1,not acept,not furnished,150,"1,047",0,14,"1,211"
1223,1,75,2,1,0,5,acept,furnished,"1,310","1,283",0,17,"2,610"
1224,1,150,2,2,2,-,acept,not furnished,0,"2,640",0,40,"2,680"
1225,1,34,1,1,0,11,not acept,not furnished,370,"2,800",74,36,"3,280"
1226,0,135,3,2,2,-,acept,not furnished,0,"1,700",25,26,"1,751"
1227,1,36,1,1,0,3,not acept,not furnished,500,"1,900",77,25,"2,502"
1228,1,60,2,1,1,1,acept,not furnished,670,"2,058",0,9,"2,737"
1229,1,280,3,3,8,-,acept,not furnished,0,"13,000","4,234",196,"17,430"
1230,1,156,3,3,3,20,acept,not furnished,"1,600","4,900",917,63,"7,480"
1231,1,60,1,1,1,7,acept,not furnished,"1,300","3,070",217,39,"4,626"
1232,0,60,2,1,1,1,not acept,furnished,385,"2,848",64,37,"3,334"
1233,1,150,4,2,1,-,acept,not furnished,0,"3,900",0,59,"3,959"
1234,1,120,3,2,2,1,acept,not furnished,"2,450","4,636",875,59,"8,020"
1235,1,64,3,1,1,2,acept,not furnished,470,"1,200",110,16,"1,796"
1236,1,238,4,4,3,1,acept,furnished,"2,569","15,000",542,191,"18,300"
1237,1,127,3,2,1,12,not acept,not furnished,"1,655","3,900",350,50,"5,955"
1238,1,87,2,2,2,15,acept,not furnished,663,"3,700",257,47,"4,667"
1239,1,300,4,4,0,7,acept,furnished,"2,700","9,600",500,122,"12,920"
1240,1,60,2,1,0,1,acept,not furnished,191,"1,500",150,20,"1,861"
1241,1,270,6,3,6,-,acept,not furnished,0,"4,500",417,68,"4,985"
1242,1,142,3,3,2,15,acept,not furnished,"1,600","9,000",475,115,"11,190"
1243,1,35,1,1,0,3,acept,not furnished,315,"1,649",0,21,"1,985"
1244,1,55,2,1,0,-,acept,not furnished,Sem info,"1,600",50,25,"1,675"
1245,1,129,4,4,2,14,acept,furnished,"1,180","8,900",387,113,"10,580"
1246,1,30,1,1,1,14,not acept,not furnished,"1,379","1,660",18,22,"3,079"
1247,1,89,2,2,1,5,acept,not furnished,"1,542","2,300",238,30,"4,110"
1248,1,98,3,2,2,6,acept,furnished,961,"2,500",180,32,"3,673"
1249,1,277,4,4,6,5,acept,not furnished,"4,200","3,800","1,947",49,"9,996"
1250,1,80,2,2,2,15,acept,not furnished,"2,000","11,000",0,140,"13,140"
1251,1,113,2,1,1,5,acept,not furnished,"1,000","3,000",50,39,"4,089"
1252,1,25,1,1,0,1,not acept,not furnished,0,"1,200",35,16,"1,251"
1253,1,212,3,4,4,4,acept,not furnished,"3,400","10,000","1,250",127,"14,780"
1254,0,53,2,1,1,3,acept,not furnished,345,850,15,11,"1,221"
1255,1,235,3,4,3,2,acept,not furnished,"2,000","2,550","1,000",33,"5,583"
1256,1,100,1,2,2,8,acept,not furnished,700,"2,000",150,18,"2,868"
1257,0,140,4,3,2,14,acept,not furnished,"1,030","3,500",220,45,"4,795"
1258,1,51,1,2,1,3,not acept,furnished,"1,062","2,100",27,27,"3,216"
1259,0,80,2,1,1,-,not acept,not furnished,0,"1,100",28,17,"1,145"
1260,1,244,3,4,2,7,acept,furnished,"3,500","12,000",648,153,"16,300"
1261,1,220,4,4,3,12,acept,not furnished,"3,600","5,100",892,65,"9,657"
1262,1,97,3,2,2,14,acept,not furnished,"1,600","1,700",125,22,"3,447"
1263,1,25,1,1,0,-,acept,not furnished,20,"1,200",25,19,"1,264"
1264,1,100,3,2,1,4,not acept,furnished,950,"2,700",71,35,"3,756"
1265,1,69,2,1,0,4,acept,not furnished,525,"3,000",0,22,"3,547"
1266,0,143,3,2,3,-,acept,not furnished,0,"1,700",70,26,"1,796"
1267,1,48,1,1,1,3,acept,not furnished,660,"3,300",110,42,"4,112"
1268,0,380,4,6,3,-,acept,not furnished,0,"4,000",455,61,"4,516"
1269,1,340,5,4,2,7,acept,not furnished,"220,000","12,000","1,000",153,"233,200"
1270,0,165,3,2,0,-,acept,not furnished,0,"3,000",129,46,"3,175"
1271,1,137,3,3,1,9,acept,furnished,"1,200","5,500",303,70,"7,073"
1272,1,33,2,1,0,6,acept,not furnished,300,"1,900",0,25,"2,225"
1273,1,120,4,3,2,8,acept,not furnished,"2,010","2,210",334,28,"4,582"
1274,1,150,4,3,0,2,acept,not furnished,0,"2,850",275,37,"3,162"
1275,1,218,4,4,4,3,not acept,not furnished,"2,488","4,930","1,454",63,"8,935"
1276,1,160,4,3,3,3,acept,not furnished,"1,600","7,000",542,89,"9,231"
1277,1,85,2,1,0,4,acept,furnished,620,"2,190",0,28,"2,838"
1278,1,230,3,3,0,9,acept,furnished,"1,700","5,000",109,64,"6,873"
1279,1,40,1,1,0,-,not acept,not furnished,0,970,63,15,"1,048"
1280,1,160,4,5,3,2,acept,furnished,"1,623","3,800",834,49,"6,306"
1281,0,92,3,2,3,6,acept,not furnished,700,"2,100",167,27,"2,994"
1282,1,23,1,1,0,2,not acept,not furnished,30,950,34,13,"1,027"
1283,1,53,2,2,1,9,not acept,not furnished,722,"2,100",0,27,"2,849"
1284,1,260,3,2,3,10,acept,not furnished,"3,000","8,500","1,084",108,"12,690"
1285,1,140,3,1,0,-,acept,not furnished,0,"2,700",167,41,"2,908"
1286,1,236,4,5,7,4,acept,furnished,"3,000","10,800","1,084",137,"15,020"
1287,1,250,3,3,3,-,acept,not furnished,0,"3,210",0,49,"3,259"
1288,1,30,2,1,0,-,acept,not furnished,Sem info,"1,500",5,23,"1,528"
1289,1,280,4,4,1,1,acept,furnished,"3,000","8,000",292,102,"11,390"
1290,1,103,3,1,3,2,acept,not furnished,"1,054","3,400",94,44,"4,592"
1291,1,60,1,1,0,-,acept,furnished,0,"4,100",400,62,"4,562"
1292,1,62,2,1,1,1,acept,not furnished,580,"1,650",92,21,"2,343"
1293,1,20,1,1,0,-,acept,furnished,602,"1,800",130,23,"2,555"
1294,1,278,3,2,1,11,acept,not furnished,"2,640","7,800",601,99,"11,140"
1295,1,42,2,1,1,18,acept,not furnished,500,"1,200",0,16,"1,716"
1296,1,260,4,5,5,6,acept,not furnished,"3,000","12,500","1,667",159,"17,330"
1297,1,160,3,3,2,1,acept,furnished,"1,990","12,650",360,161,"15,160"
1298,1,200,4,4,3,5,acept,furnished,"2,300","10,200",803,130,"13,430"
